Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
AL9202,Saturday,2015-11-14,11:15:00,12:30:00,North Shore Female Atom C2,Surrey Female Atom C2,Ice Sports North Shore 3 Green,Atom,Blue Group,League,North Shore Female
PL9701,Saturday,2015-11-14,13:15:00,14:30:00,Richmond Female Peewee C2,Tri Cities Female Peewee C2,Richmond Ice Centre Pond,Peewee,Red Group,League,Richmond Female
BL9002,Saturday,2015-11-14,14:15:00,15:30:00,Abbotsford Female Bantam A1,Richmond Female Bantam A1,Abbotsford Centre Ice 1 Blue,Bantam,Tier 1,League,Abbotsford Female
BL9702,Saturday,2015-11-14,15:30:00,16:45:00,Western Washington Female Bantam C1,Langley Girls Bantam C1,Bellingham Sportsplex,Bantam,Red Group,League,Western Washington Female
PL9503,Saturday,2015-11-14,15:30:00,16:45:00,Surrey Female Peewee C1,Burnaby Female Peewee C1,North Surrey Arena 2,Peewee,Blue Group,League,Surrey Female
AL9203,Saturday,2015-11-14,16:45:00,18:00:00,Vancouver Girls Atom C1,Richmond Female Atom C2,Trout Lake Community Centre,Atom,Blue Group,League,Vancouver Girls
ML9505,Saturday,2015-11-14,16:45:00,18:15:00,Langley Girls Midget C1,North Shore Winter Club Female Midget C1,George Preston Recreation Centre,Midget,Blue Group,League,Langley Girls
ML9004,Saturday,2015-11-14,17:00:00,18:30:00,Western Washington Female Midget A1,Vancouver Girls Midget A1,Bellingham Sportsplex,Midget,Tier 1,League,Western Washington Female
BL9303,Saturday,2015-11-14,17:45:00,19:00:00,Abbotsford Female Bantam C1,North Shore Female Bantam C1,Matsqui Recreation Centre,Bantam,Black Group,League,Abbotsford Female
PL9003,Saturday,2015-11-14,17:45:00,19:00:00,Tri Cities Female Peewee A1,Vancouver Girls Peewee A1,Coquitlam Recreation,Peewee,Tier 1,League,Tri Cities Female
NL9524,Saturday,2015-11-14,18:00:00,19:00:00,Vancouver Girls Novice C2,North Shore Female Novice C1,Burnaby Winter Club,Novice,Greater Vancouver Group,League,Vancouver Girls
BL9003,Saturday,2015-11-14,19:15:00,20:30:00,Tri Cities Female Bantam A1,Vancouver Girls Bantam A1,Coquitlam Main,Bantam,Tier 1,League,Tri Cities Female
BL9703,Saturday,2015-11-14,19:15:00,20:30:00,Tri Cities Female Bantam C2,Burnaby Female Bantam C1,Port Moody 2,Bantam,Red Group,League,Tri Cities Female
BL9304,Saturday,2015-11-14,19:45:00,21:00:00,Meadow Ridge Female Bantam C1,Tri Cities Female Bantam C1,Pitt Meadows Arena Fiat Red,Bantam,Black Group,League,Meadow Ridge Female
ML9304,Saturday,2015-11-14,20:45:00,22:00:00,Tri Cities Female Midget C1,North Shore Female Midget C1,Coquitlam Main,Midget,Black Group,League,Tri Cities Female
PL9304,Sunday,2015-11-15,08:00:00,09:15:00,Richmond Female Peewee C1,Meadow Ridge Female Peewee C1,Richmond Ice Centre Coliseum,Peewee,Black Group,League,Richmond Female
NL9523,Sunday,2015-11-15,09:15:00,10:15:00,Richmond Female Novice C2,Vancouver Girls Novice C3,Richmond Ice Centre Igloo,Novice,Greater Vancouver Group,League,Richmond Female
ML9703,Sunday,2015-11-15,09:45:00,11:00:00,Western Washington Female Midget C1,Richmond Female Midget C2,Bellingham Sportsplex,Midget,Red Group,League,Western Washington Female
AL9402,Sunday,2015-11-15,11:15:00,12:30:00,Meadow Ridge Female Atom C2,Abbotsford Female Atom C2,Pitt Meadows Arena Volkswagen Blue,Atom,Red Group,League,Meadow Ridge Female
ML9704,Sunday,2015-11-15,11:30:00,12:45:00,North Shore Female Midget C2,Abbotsford Female Midget C2,Ice Sports North Shore 2 Blue,Midget,Red Group,League,North Shore Female
PL9038,Sunday,2015-11-15,12:45:00,14:00:00,North Shore Female Peewee A1,Tri Cities Female Peewee A1,Ice Sports North Shore 3 Green,Peewee,Tier 1,League,North Shore Female
BL9305,Sunday,2015-11-15,13:00:00,14:15:00,North Shore Female Bantam C1,South Delta Female Bantam C1,Ice Sports North Shore 2 Blue,Bantam,Black Group,League,North Shore Female
PL9004,Sunday,2015-11-15,13:30:00,15:00:00,Richmond Female Peewee A1,Langley Girls Peewee A1,Richmond Ice Centre Coliseum,Peewee,Tier 1,League,Richmond Female
BL9705,Sunday,2015-11-15,14:30:00,16:00:00,Langley Girls Bantam C1,Vancouver Girls Bantam C1,Langley Twin Rinks 2,Bantam,Red Group,League,Langley Girls
ML9305,Sunday,2015-11-15,14:30:00,16:00:00,Surrey Female Midget C1,Abbotsford Female Midget C1,Surrey Sport & Leisure Centre Arena 2 Purple,Midget,Black Group,League,Surrey Female
AL9403,Sunday,2015-11-15,15:00:00,16:15:00,Tri Cities Female Atom C2,North Shore Female Atom C3,Planet Ice Coquitlam 3 Venus,Atom,Red Group,League,Tri Cities Female
