Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
BQ9006,Thursday,2015-10-15,19:30:00,20:45:00,Surrey Female Bantam A1,North Shore Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Tier 1,Placement,Surrey Female
MQ9709,Thursday,2015-10-15,19:30:00,20:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C2,MSA Arena - Abbotsford,Midget,Red Group,Balancing,Abbotsford Female
PQ9711,Thursday,2015-10-15,19:30:00,21:00:00,Langley Girls Peewee C2,Surrey Female Peewee C1,Langley Sportsplex 2,Peewee,Red Group,Balancing,Langley Girls
MQ9313,Thursday,2015-10-15,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Surrey Female Midget C1,Planet Ice Maple Ridge 2,Midget,Black Group,Balancing,Meadow Ridge Female
MQ9314,Thursday,2015-10-15,19:45:00,21:00:00,North Shore Winter Club Female Midget C1,Vancouver Girls Midget C1,North Shore Winter Club,Midget,Black Group,Balancing,North Shore Winter Club
PQ9005,Thursday,2015-10-15,19:45:00,21:00:00,Vancouver Girls Peewee A1,Surrey Female Peewee A1,PNE Agrodome,Peewee,Tier 1,Placement,Vancouver Girls
PQ9311,Thursday,2015-10-15,19:45:00,21:00:00,North Shore Female Peewee C1,Langley Girls Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Balancing,North Shore Female
BQ9706,Thursday,2015-10-15,20:00:00,21:15:00,South Delta Female Bantam C1,North Shore Female Bantam C2,Tilbury Ice,Bantam,Red Group,Balancing,South Delta
MQ9715,Friday,2015-10-16,18:15:00,19:30:00,Richmond Female Midget C2,Abbotsford Female Midget C2,Richmond Ice Centre Igloo,Midget,Red Group,Balancing,Richmond Female
BQ9007,Friday,2015-10-16,19:30:00,20:45:00,North Shore Female Bantam A1,Abbotsford Female Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Tier 1,Placement,North Shore Female
BQ9308,Friday,2015-10-16,19:45:00,21:15:00,Richmond Female Bantam C1,Meadow Ridge Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,Balancing,Richmond Female
MQ9714,Friday,2015-10-16,19:45:00,21:15:00,Surrey Female Midget C2,South Delta Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Red Group,Balancing,Surrey Female
BQ9707,Friday,2015-10-16,20:00:00,21:15:00,North Shore Female Bantam C2,Western Washington Female Bantam C1,West Vancouver Ice Arena,Bantam,Red Group,Balancing,North Shore Female
MQ9710,Friday,2015-10-16,20:15:00,21:30:00,Tri Cities Female Midget C3,Western Washington Female Midget C1,Port Coquitlam Green,Midget,Red Group,Balancing,Tri Cities Female
MQ9009,Friday,2015-10-16,20:30:00,22:00:00,Richmond Female Midget A1,Western Washington Female Midget A1,Minoru Arena Silver Spectrum,Midget,Tier 1,Placement,Richmond Female
MQ9711,Friday,2015-10-16,20:30:00,21:45:00,Tri Cities Female Midget C2,North Shore Female Midget C2,Coquitlam Recreation,Midget,Red Group,Balancing,Tri Cities Female
MQ9316,Friday,2015-10-16,21:30:00,22:45:00,Surrey Female Midget C1,Tri Cities Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Black Group,Balancing,Surrey Female
PQ9712,Saturday,2015-10-17,08:30:00,09:45:00,Vancouver Girls Peewee C2,North Shore Female Peewee C2,Killarney Community Centre,Peewee,Red Group,Balancing,Vancouver Girls
